table,legacy_row,key,accepted_exact,strict_exact,same_xi_distance,reason,disposition
crossover,268,"{""muq_MeV"":300.0,""xi"":0.3}",False,False,1.9097587790100192,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,269,"{""muq_MeV"":330.0,""xi"":0.3}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,270,"{""muq_MeV"":360.0,""xi"":0.3}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,271,"{""muq_MeV"":390.0,""xi"":0.3}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,272,"{""muq_MeV"":420.0,""xi"":0.3}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,273,"{""muq_MeV"":450.0,""xi"":0.3}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,274,"{""muq_MeV"":0.0,""xi"":0.35}",True,True,0.0,accepted_primary_exact,exact_accepted_key
crossover,275,"{""muq_MeV"":30.0,""xi"":0.35}",False,False,5.0478383037080015,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,276,"{""muq_MeV"":60.0,""xi"":0.35}",False,False,10.095676607416003,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,277,"{""muq_MeV"":90.0,""xi"":0.35}",False,False,9.808646785167994,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,278,"{""muq_MeV"":120.0,""xi"":0.35}",False,False,4.760808481458994,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,279,"{""muq_MeV"":150.0,""xi"":0.35}",False,False,0.2870298222489964,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,280,"{""muq_MeV"":180.0,""xi"":0.35}",False,False,5.334868125957001,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,281,"{""muq_MeV"":210.0,""xi"":0.35}",False,False,10.382706429665006,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,282,"{""muq_MeV"":240.0,""xi"":0.35}",False,False,9.521616962919012,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,283,"{""muq_MeV"":270.0,""xi"":0.35}",False,False,4.473778659211007,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,284,"{""muq_MeV"":300.0,""xi"":0.35}",False,False,0.5740596444970265,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,285,"{""muq_MeV"":330.0,""xi"":0.35}",False,False,0.7342760930030181,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,286,"{""muq_MeV"":360.0,""xi"":0.35}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,287,"{""muq_MeV"":390.0,""xi"":0.35}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,288,"{""muq_MeV"":420.0,""xi"":0.35}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,289,"{""muq_MeV"":450.0,""xi"":0.35}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
