xi,last_crossover_mu_MeV,cep_mu_MeV,last_crossover_T_MeV,cep_T_midpoint_MeV,delta_mu_MeV,delta_T_MeV,closure_status
0.3125,327.45078079124744,328.83514694681367,118.8911261301883,117.80078125,1.3843661555662266,-1.0903448801882973,added_boundary_constrained_display_endpoint
0.31875,327.9638072713668,329.4584947629787,118.72432089819964,117.53125,1.4946874916118986,-1.193070898199636,added_boundary_constrained_display_endpoint
0.325,328.5153914339688,330.1335225521384,118.52001743077864,117.21875,1.6181311181696287,-1.301267430778637,added_boundary_constrained_display_endpoint
0.33125,328.5153914339688,330.83729708871664,118.75746398702285,116.875,2.321905654747866,-1.8824639870228452,added_boundary_constrained_display_endpoint
0.3375,329.6610860385566,331.5410716252949,118.07044362632878,116.53125,1.8799855867382576,-1.5391936263287818,added_boundary_constrained_display_endpoint
0.34375,329.6610860385566,332.19703619935024,118.30744214272818,116.21875,2.535950160793618,-2.0886921427281777,added_boundary_constrained_display_endpoint
0.35,330.73427609300285,332.8530007734056,117.66897856743662,115.90625,2.1187246804027495,-1.7627285674366249,added_boundary_constrained_display_endpoint
0.35625,330.73427609300285,333.53405901988305,117.90674666539489,115.5625,2.799782926880198,-2.3442466653948912,added_boundary_constrained_display_endpoint
0.3625,331.84433912735733,334.2151172663605,117.23021418858666,115.21875,2.370778139003164,-2.0114641885866575,added_boundary_constrained_display_endpoint
0.36875,331.84433912735733,334.88476864100966,117.46556291702196,114.875,3.0404295136523274,-2.5905629170219555,added_boundary_constrained_display_endpoint
0.375,332.93653361567283,335.5544200156588,116.79259510770453,114.53125,2.6178863999859914,-2.2613451077045283,added_boundary_constrained_display_endpoint
0.38125,333.45027541618055,336.1813003115321,116.59914608250548,114.21875,2.7310248953515384,-2.3803960825054844,added_boundary_constrained_display_endpoint
0.3875,334.0111792308613,336.87131117910803,116.36045438676602,113.84375,2.86013194824676,-2.5167043867660226,added_boundary_constrained_display_endpoint
0.39375,334.5672572656026,337.55513100941835,116.12108314159543,113.5,2.987873743815726,-2.6210831415954345,added_boundary_constrained_display_endpoint
0.4,335.06233163261436,338.15785067781815,115.93295010597694,113.16796875,3.095519045203787,-2.7649813559769427,added_boundary_constrained_display_endpoint
0.40625,335.06233163261436,338.8313126106062,116.16527567397526,112.787109375,3.7689809779918164,-3.378166298975259,added_boundary_constrained_display_endpoint
0.4125,336.1580529567468,339.5047745433942,115.45977617367276,112.40625,3.3467215866473907,-3.053526173672765,added_boundary_constrained_display_endpoint
0.41875,336.1580529567468,340.13014398687926,115.69102409396989,112.0625,3.9720910301324466,-3.6285240939698866,added_boundary_constrained_display_endpoint
0.425,337.1809349128682,340.75551343036426,115.03639951579281,111.71875,3.574578517496036,-3.3176495157928088,added_boundary_constrained_display_endpoint
0.43125,337.710000616162,341.4047283348482,114.80576322832749,111.34375,3.694727718686181,-3.4620132283274927,added_boundary_constrained_display_endpoint
0.4375,338.23453827097666,342.0481347196643,114.56709273409956,110.96875,3.8135964486876333,-3.5983427340995604,added_boundary_constrained_display_endpoint
