center_xi,scenario,sigma_grid_n,adaptive_refinement,species,xi,process,apply_s_cut_requested,apply_s_cut_effective,disabled_by_scenario,sigma_cutoff,cache_n_points,cache_s_min,cache_s_max,cache_sigma_min,cache_sigma_max,cache_sigma_mean,s_peak,s_peak_minus_bo,cache_asym_enabled,cache_asym_s0,cache_asym_A,s_bo,s_up,rate
0.06,baseline,256,true,u,0.08,ubarsbar_to_ubarsbar,true,true,false,3.0522942112582996,256,12.441288537557085,50.45530157882119,0.11712091329530062,0.2844434085590191,0.19460022763957285,13.26390543542843,0.822632807489553,false,0.0,0.0,12.441272627938877,50.822128781293436,0.2010260467830711
0.06,baseline,256,true,u,0.08,dubar_to_dubar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.030510861373498347,0.37125714276562827,0.27221856112007975,11.03823434616252,5.691907880055984,false,0.0,0.0,5.346326466106536,42.612326274430224,0.2972526416799301
0.06,baseline,256,true,u,0.08,uubar_to_ssbar,true,true,false,3.0522942112582996,256,22.49074516637564,42.246450194910885,0.0015748500700831912,0.10689442259030872,0.057076224871910074,42.246450194910885,19.757750485307515,false,0.0,0.0,22.48869970960337,42.612326274430224,0.03409321089600658
0.06,baseline,256,true,u,0.08,us_to_us,true,true,false,3.0522942112582996,256,12.441288537557085,50.45530157882119,0.11712091329530062,0.2844434085590191,0.19460022763957285,13.26390543542843,0.822632807489553,false,0.0,0.0,12.441272627938877,50.822128781293436,0.2010260467830711
0.06,baseline,256,true,u,0.08,ssbar_to_ssbar,true,true,false,3.0522942112582996,256,22.488699745268537,59.38882343840773,0.1675624590585496,0.4250618911718387,0.3358987264881533,28.366740767807297,5.878041058203927,false,0.0,0.0,22.48869970960337,59.754699517927065,0.2645050897022616
0.06,baseline,256,true,u,0.08,uubar_to_ddbar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.14186281216648733,0.8237150743509554,0.21080494377151957,5.3463265017717045,3.5665168596210606e-8,false,0.0,0.0,5.346326466106536,42.612326274430224,0.24646839859693945
0.06,baseline,256,true,u,0.08,sbarsbar_to_sbarsbar,true,true,false,3.0522942112582996,256,22.488699745268537,59.38882343840773,0.07053096362133247,0.11723358172006468,0.07945751917220384,59.38882343840773,36.90012372880436,false,0.0,0.0,22.48869970960337,59.754699517927065,0.08063753312089417
0.06,baseline,256,true,u,0.08,usbar_to_usbar,true,true,false,3.0522942112582996,256,12.441288537557085,50.45530157882119,0.026565792533192162,0.38442090218469444,0.26994005401517557,18.300414387563208,5.859141759624331,false,0.0,0.0,12.441272627938877,50.822128781293436,0.23411670061984843
0.06,baseline,256,true,u,0.08,uu_to_uu,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.099639231554614,0.13478789607998082,0.11739932872252341,42.246450194910885,36.900123728804346,false,0.0,0.0,5.346326466106536,42.612326274430224,0.15811649830760852
0.08,baseline,128,true,u,0.06,ubardbar_to_ubardbar,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.05669876321969283,0.17466152800626503,0.15970449104213053,8.746124382526776,3.3997979164202405,false,0.0,0.0,5.346326466106536,42.612326274430224,0.2060383426768763
0.08,baseline,128,true,u,0.06,uubar_to_uubar,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.17366043212590346,2.0171297899939837,0.3992453762457352,5.3463265017717045,3.5665168596210606e-8,false,0.0,0.0,5.346326466106536,42.612326274430224,0.44795852007978215
0.08,baseline,128,true,u,0.06,ud_to_ud,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.05669876321969283,0.17466152800626503,0.15970449104213053,8.746124382526776,3.3997979164202405,false,0.0,0.0,5.346326466106536,42.612326274430224,0.2060383426768763
0.08,baseline,128,true,u,0.06,ss_to_ss,true,true,false,3.0522942112582996,128,22.488699745268537,59.38882343840773,0.07048452139905668,0.11724977488605574,0.07950890644538974,59.38882343840773,36.90012372880436,false,0.0,0.0,22.48869970960337,59.754699517927065,0.08053423523849076
0.08,baseline,128,true,u,0.06,udbar_to_udbar,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.030526998462734,0.3712883765135133,0.27206118526212175,11.019043927917043,5.672717461810507,false,0.0,0.0,5.346326466106536,42.612326274430224,0.2964739818506886
0.08,baseline,128,true,u,0.06,subar_to_subar,true,true,false,3.0522942112582996,128,12.441288537557085,50.45530157882119,0.026575074230692365,0.38446898283974634,0.2697704058166222,18.28790622559031,5.846633597651431,false,0.0,0.0,12.441272627938877,50.822128781293436,0.23334838367704583
